部品№,品名,規格,棚番
182106,ＬＭブロック　　　　　　　　　　　　　,SSR20XW1UU(GK)BLOCK,1F-MD-10
182109,ＬＭブロック　　　　　　　　　　　　　,SSR35XW1UU(GK)BLOCK,1F-MD-11
210945,ソレノイドバルブ　　　　　　　　　　　,VF3230-5MJ1-02-X102,1F-ME-01
184260,ソレノイドバルブ　　　　　　　　　　　,SF2101-IP-SC1-CN1-D4,1F-ME-02
210312,ソレノイドバルブ　　　　　　　　　　　,VZ3340-5MO-X53,1F-ME-03
181994,ソレノイドバルブ（パッキン・ビス無し）,SY7120-5MO-02-F2,1F-ME-04
270349,タイミングベルト　　　　　　　　　　　,150S4.5M450 (100ﾊ),1F-ME-06
310480,ＰＸベルト　　　　　　　　　　　　　　,525P5M15,1F-ME-07
320193,深ミゾ玉軸受　　　　　　　　　　　　　,6002ZZ,1F-ME-08
320485,深溝玉軸受　　　　　　　　　　　　　　,6005ZZ,1F-ME-09
182473,ＬＭブロック　　　　　　　　　　　　　,SHS20V1UU(GK)BLOCK,1F-ME-10
210957,ソレノイドバルブ　　　　　　　　　　　,VF3230-5MD1-02-X24,1F-MF-01
184262,ソレノイドバルブ　　　　　　　　　　　,SF4101-IP-SC2-CN2-D4,1F-MF-02
298625,オートスイッチ（ＲｏＨＳ）　　　　　　,3C-D-A93,1F-MF-04
290818,ＰＸベルト　　　　　　　　　　　　　　,375P5M15,1F-MF-06
181504,軸用Ｃ型止メ輪　　　　　　　　　　　　,STW-6,1F-MF-07
180399,軸用Ｃ型止メ輪　　　　　　　　　　　　,STW-8,1F-MF-08
321405,深溝玉軸受　　　　　　　　　　　　　　,6205ZZ,1F-MF-09
183651,ＬＭブロック　　　　　　　　　　　　　,SHS20LV1UU(GK)BLOCK,1F-MF-10
60582,ミニリレー　　　　　　　　　　　　　　,G6B-1174P-US DC12V,1F-NA-01
30119,オートスイッチ　　　　　　　　　　　　,D-97-90,1F-NA-02
10709,非常停止スイッチ（ハーネス付き）　　　,B5002020-PND-H02,1F-NA-03
271794,電源キースイッチ（ハーネス付き）　　　,149827-PND-H02A,1F-NA-04
10748,動作可能キー（ハーネス付き）　　　　　,B3921100-PND-H04B,1F-NA-05
170917,ランナーチャック（ＳＰ－３００）　　　,CHK-RN12-C,1F-NA-06
23401,ランナーチャック（センサー付）　　　　,CHK1-CM22II-C-2,1F-NA-07
281846,タイムラグ・ヒューズ　　　　　　　　　,215 3.15MXP,1F-NA-08
350107,タコバム　エジェクタサービスキット　　,92247  (VC1-101/102ﾖｳ),1F-NA-09
50020,ヒューズホルダー　　　　　　　　　　　,F-4000-A,1F-NA-10
126329,リレー　　　　　　　　　　　　　　　　,MY2N-D2 DC24,1F-NA-11
120018,リレー　　　　　　　　　　　　　　　　,MY2N AC200V,1F-NA-12
193837,近接スイッチ　　　　　　　　　　　　　,TL-Q5MC1-C (ｺﾈｸﾀｰ ﾂｷ),1F-NB-01
30159,オートスイッチ　　　　　　　　　　　　,D-B73-110(ｺﾈｸﾀｰﾂｷ),1F-NB-02
30394,オートスイッチ（コネクター付）　　　　,D-C73K-C (900ﾐﾘ),1F-NB-03
41782,近接センサ（コネクタ付）　　　　　　　,E2S-Q23-XMR-A,1F-NB-05
22783,ランナーチャック（センサー付）　　　　,CHK-CS18-C,1F-NB-06
23188,ランナーチャック（センサー付）　　　　,CHK1-CM22-C,1F-NB-07
20665,ゴムマグ　　　　　　　　　　　　　　　,CM-1013-T1.5,1F-NB-08
20666,ゴムマグ　　　　　　　　　　　　　　　,CM-1013-T2.0,1F-NB-08
193838,近接スイッチ　　　　　　　　　　　　　,TL-Q5MC2-C (ｺﾈｸﾀｰ ﾂｷ),1F-NC-01
298624,オートスイッチ（ＲｏＨＳ・コネクタ付）,3C-D-A93-XMR,1F-NC-02
41774,近接スイッチ（コネクタ付）　　　　　　,E2S-W13-R-S-XMR,1F-NC-03
170449,ランナーチャック（センサー付）　　　　,CHK-RN20-C,1F-NC-05
23400,ランナーチャック（センサー付）　　　　,CHK1-CM22II-L-XMR-2,1F-NC-06
23399,ランナーチャック（センサー付）　　　　,CHK1-CM22II-XMR-2,1F-NC-07
100493,チャックスプリング　　　　　　　　　　,KH-1008,1F-NC-08
30438,デジタル圧力センサー　　　　　　　　　,DP-101ZA,1F-NC-09
170781,ロータリーエンコーダー　　　　　　　　,RE-1-32,1F-NC-10
152712,ソケット　　　　　　　　　　　　　　　,PYFZ-08,1F-NC-11
120015,リレー　　　　　　　　　　　　　　　　,MY2N DC24V,1F-NC-12
196575,近接スイッチ（コネクタ付）　　　　　　,TL-Q5MC1-XMR,1F-ND-01
171161,磁気近接センサー（コネクタ付）　　　　,RS-1SH-XMR,1F-ND-02
171008,磁気近接センサー（コネクタ付）　　　　,RS-1SH-33,1F-ND-03
100705,チャック用パッキン（取付用ガスケット）,KH-1010,1F-ND-05
20589,ランナーチャック（センサー付）　　　　,CHK-RN24-C,1F-ND-06
131250,圧力スイッチ　　　　　　　　　　　　　,NPS-030-10,1F-ND-08
371754,ランナーチャック用変換ハーネス　　　　,SRC-2012,1F-ND-09
200059,スタイルファン　　　　　　　　　　　　,UP92B20  200V,1F-ND-10
270054,ファン　　　　　　　　　　　　　　　　,109-S092,1F-ND-10
1443,照光式押ボタンスイッチ（緑）　　　　　,AL6H-M14G,1F-NE-01
1444,スイッチガード　　　　　　　　　　　　,AL-KH6,1F-NE-02
41781,近接センサ（コネクタ付）　　　　　　　,E2S-W23-XMR-A,1F-NE-03
400704,チャックスペーサ　　　　　　　　　　　,H44742-050-0,1F-NE-05
23189,ランナーチャック（センサー付）　　　　,CHK1-CM22-C SP,1F-NE-06
60583,ミニリレー　　　　　　　　　　　　　　,G6B-2114P-US DC12V,1F-NE-07
60584,ミニリレー　　　　　　　　　　　　　　,G6B-2214P-US DC12V,1F-NE-08
171045,カードリレー　　　　　　　　　　　　　,RB-105-DB,1F-NE-09
60265,ショートバー　　　　　　　　　　　　　,G6B-4-SB,1F-NE-10
40415,ミニリレー　　　　　　　　　　　　　　,G6B-4BND DC24V,1F-NE-11
271548,ＭＳＵＡドライバー内部ファン　　　　　,149507-FAN-H02,1F-NF-01
271866,ファン（６０角：ＤＣ２４Ｖ）　　　　　,149506-FAN-H04A,1F-NF-01
2166,電源スイッチ　キー付　　　　　　　　　,AS6M-2KT2B,1F-NF-02
1442,セレクトスイッチ（３ノッチ）　　　　　,AS6Q-3Y2,1F-NF-03
23374,リチウム電池　　　　　　　　　　　　　,CR-2430P,1F-NF-05
121571,バッテリー　　　　　　　　　　　　　　,MR-BAT,1F-NF-06
40303,リチウム電池　　　　　　　　　　　　　,ER6(AA)3.6V,1F-NF-07
292944,リチウム電池　　　　　　　　　　　　　,ER6(AA)3.6V-ABS,1F-NF-08
23012,リチウム電池（電池単体）　　　　　　　,CR-2032 3V,1F-NF-09
370876,防振ゴム　Ｔ－１００　　　　　　　　　,10*35L,1F-NF-10
295611,アイアンラバーＡＴベルト（耐屈曲芯線）,015-AT10-4000E-LY,1F-P-01
260997,アイアンラバーＡＴベルト（耐屈曲芯線）,020-AT10-4000E-LY,1F-P-02
295612,アイアンラバーＡＴベルト（耐屈曲芯線）,025-AT10-4000E-LY,1F-P-03
295613,アイアンラバーＡＴベルト（耐屈曲芯線）,032-AT10-4000E-LY,1F-P-04
260998,アイアンラバーＡＴベルト（耐屈曲芯線）,040-AT10-4000E-LY,1F-P-05
295614,アイアンラバーＡＴベルト（耐屈曲芯線）,050-AT10-4000E-LY,1F-P-06
261443,アイアンラバーＡＴベルト（耐屈曲芯線）,015-AT5-12000E-LY,1F-P-07
261461,アイアンラバーＡＴベルト（耐屈曲芯線）,025-AT5-12000E-LY,1F-P-08
261470,アイアンラバーＡＴベルト（耐屈曲芯線）,032-AT5-12000E-LY,1F-P-09
261438,アイアンラバーＡＴベルト（耐屈曲芯線）,040-AT5-12000E-LY,1F-P-10
261480,アイアンラバーＡＴベルト（耐屈曲芯線）,050-AT5-12000E-LY,1F-P-11
80052,回生抵抗　　　　　　　　　　　　　　　,IRV150N 120J,1F-Q-01
270056,圧着端子　　　　　　　　　　　　　　　,1.25-YAS3,1F-R-A1
280016,圧着端子　　　　　　　　　　　　　　　,2-YAS4,1F-R-A2
290199,圧着端子　　　　　　　　　　　　　　　,3.5-YAS4,1F-R-A3
10119,圧着端子　　　　　　　　　　　　　　　,BT 1.25-9-1,1F-R-A4
170121,圧着端子　　　　　　　　　　　　　　　,R2-8,1F-R-A5
310504,圧着端子　　　　　　　　　　　　　　　,5.5-8,1F-R-A8
150250,差込み型ピン端子（メス）　　　　　　　,PC-2005F,1F-R-B1
150251,差込み型ピン端子（オス）　　　　　　　,PC-2005M,1F-R-B2
210031,圧着端子（赤）　　　　　　　　　　　　,VB-1.25,1F-R-B3
210546,圧着端子（透明）　　　　　　　　　　　,VB-1.25,1F-R-B4
20133,圧着端子　　　　　　　　　　　　　　　,CE-2,1F-R-B5
20132,圧着端子　　　　　　　　　　　　　　　,CE-5,1F-R-B6
270299,コネクター　　　　　　　　　　　　　　,172167-1,1F-R-C1
270300,コネクター　　　　　　　　　　　　　　,172168-1,1F-R-C2
270301,コネクター　　　　　　　　　　　　　　,172169-1,1F-R-C3
270428,コネクター　　　　　　　　　　　　　　,172159-1 4P,1F-R-C4
270429,コネクター　　　　　　　　　　　　　　,172160-1 6P,1F-R-C5
270220,コネクター　　　　　　　　　　　　　　,172161-1,1F-R-C6
171196,圧着端子（ニチフ）　　　　　　　　　　,R2-4,1F-R-C8
270434,コネクター　　　　　　　　　　　　　　,172157-1 2P,1F-R-D1
270433,端子　　　　　　　　　　　　　　　　　,170364-1,1F-R-D2
270298,コネクター　　　　　　　　　　　　　　,172165-1,1F-R-D3
270431,端子　　　　　　　　　　　　　　　　　,170366-1,1F-R-D4
10536,ブレーキ＆パーツクリーナー９　　　　　,BC-9,1F-S-ｿｳｺ
22833,接点復活剤　ドライ　　　　　　　　　　,CR-D 180ML,1F-S-ｿｳｺ
100717,シリコン離型剤（クリューバー）　　　　,KLUBER S50,1F-S-ｿｳｺ
370963,ハーネス用ビニールテープ（灰）　　　　,#234 0.13*19*20,1F-T-1
370411,ハーネス用ビニールテープ（黒）　　　　,#234 0.13*19*20,1F-T-2
371765,接着剤・セメダイン・２０ｍｌ　　　　　,AX-038 (ｽｰﾊﾟｰX･20TM),1F-T-3
122777,平ワッシャー　（三価クロメート）ＪＩＳ,M3,1F-UA-01
122772,スプリングワッシャー（サンカシロ）　　,M3,1F-UA-02
123301,六角ナット（１種）（三価クロメート）　,M3,1F-UA-03
122789,六角穴付ボルト（サンカシロ）　　　　　,M3*5,1F-UA-04
122790,六角穴付ボルト（サンカシロ）　　　　　,M3*10,1F-UA-05
122791,六角穴付ボルト（サンカシロ）　　　　　,M3*15,1F-UA-06
122792,六角穴付ボルト（サンカシロ）　　　　　,M3*20,1F-UA-07
122793,六角穴付ボルト（サンカシロ）　　　　　,M3*25,1F-UA-08
122794,六角穴付ボルト（サンカシロ）　　　　　,M3*30,1F-UA-09
122979,六角穴付ボルト（サンカシロ）　　　　　,M3*35,1F-UA-10
122778,平ワッシャー　（三価クロメート）ＪＩＳ,M4,1F-UB-01
122773,スプリングワッシャー（サンカシロ）　　,M4,1F-UB-02
123302,六角ナット（１種）（三価クロメート）　,M4,1F-UB-03
122795,六角穴付ボルト（サンカシロ）　　　　　,M4*10,1F-UB-04
122796,六角穴付ボルト（サンカシロ）　　　　　,M4*12,1F-UB-05
122797,六角穴付ボルト（サンカシロ）　　　　　,M4*15,1F-UB-06
122965,六角穴付ボルト（サンカシロ）　　　　　,M4*20,1F-UB-07
122798,六角穴付ボルト（サンカシロ）　　　　　,M4*25,1F-UB-08
122799,六角穴付ボルト（サンカシロ）　　　　　,M4*30,1F-UB-09
122800,六角穴付ボルト（サンカシロ）　　　　　,M4*35,1F-UB-10
122779,平ワッシャー　（三価クロメート）ＪＩＳ,M5,1F-UC-01
122774,スプリングワッシャー（サンカシロ）　　,M5,1F-UC-02
123303,六角ナット（１種）（三価クロメート）　,M5,1F-UC-03
122803,六角穴付ボルト（サンカシロ）　　　　　,M5*10,1F-UC-04
122804,六角穴付ボルト（サンカシロ）　　　　　,M5*15,1F-UC-05
122966,六角穴付ボルト（サンカシロ）　　　　　,M5*20,1F-UC-06
122967,六角穴付ボルト（サンカシロ）　　　　　,M5*25,1F-UC-07
122968,六角穴付ボルト（サンカシロ）　　　　　,M5*30,1F-UC-08
122984,六角穴付ボルト（サンカシロ）　　　　　,M5*35,1F-UC-09
122985,六角穴付ボルト（サンカシロ）　　　　　,M5*40,1F-UC-10
122780,平ワッシャー　（三価クロメート）ＪＩＳ,M6,1F-UD-01
122775,スプリングワッシャー（サンカシロ）　　,M6,1F-UD-02
123304,六角ナット（１種）（三価クロメート）　,M6,1F-UD-03
122988,六角穴付ボルト（サンカシロ）　　　　　,M6*10,1F-UD-04
122805,六角穴付ボルト（サンカシロ）　　　　　,M6*15,1F-UD-05
122806,六角穴付ボルト（サンカシロ）　　　　　,M6*20,1F-UD-06
122969,六角穴付ボルト（サンカシロ）　　　　　,M6*25,1F-UD-07
122970,六角穴付ボルト（サンカシロ）　　　　　,M6*30,1F-UD-08
122989,六角穴付ボルト（サンカシロ）　　　　　,M6*35,1F-UD-09
122990,六角穴付ボルト（サンカシロ）　　　　　,M6*40,1F-UD-10
122781,平ワッシャー　（三価クロメート）ＪＩＳ,M8,1F-UE-01
122776,スプリングワッシャー（サンカシロ）　　,M8,1F-UE-02
123305,六角ナット（１種）（三価クロメート）　,M8,1F-UE-03
122977,六角穴付ボルト（サンカシロ）　　　　　,M8*10,1F-UE-04
122978,六角穴付ボルト（サンカシロ）　　　　　,M8*15,1F-UE-05
122971,六角穴付ボルト（サンカシロ）　　　　　,M8*20,1F-UE-06
122830,六角穴付ボルト（サンカシロ）　　　　　,M8*25,1F-UE-07
122972,六角穴付ボルト（サンカシロ）　　　　　,M8*30,1F-UE-08
122973,六角穴付ボルト（サンカシロ）　　　　　,M8*35,1F-UE-09
122974,六角穴付ボルト（サンカシロ）　　　　　,M8*40,1F-UE-10
101662,ワンタッチ管継手（ハーフユニオン）　　,KQ2H04-M5N,1F-VA-01
101492,ハーフユニオン　　　　　　　　　　　　,KQ2H06-M5A,1F-VA-02
101496,ワンタッチ管継手（ハーフユニオン）　　,KQ2H08-01AS,1F-VA-03
101480,ワンタッチ管継手（ハーフユニオン）　　,KQ2H10-01AS,1F-VA-04
101481,ワンタッチ管継手（ハーフユニオン）　　,KQ2H12-02AS,1F-VA-05
101469,継手・ストレート　　　　　　　　　　　,KQ2H04-00A,1F-VA-06
101472,継手・ユニオンワイ　　　　　　　　　　,KQ2U04-00A,1F-VA-07
101471,継手・異径ストレート　　　　　　　　　,KQ2H04-06A,1F-VA-08
2239,スピコン　　　　　　　　　　　　　　　,AS1201F-M5-04A,1F-VA-09
101490,ワンタッチ管継手　　　　　　　　　　　,KQ2H04-01AS,1F-VB-01
101493,ワンタッチ管継手　　　　　　　　　　　,KQ2H06-01AS,1F-VB-02
101497,ワンタッチ管継手　　　　　　　　　　　,KQ2H08-02AS,1F-VB-03
101499,ワンタッチ管継手　　　　　　　　　　　,KQ2H10-02AS,1F-VB-04
101502,ワンタッチ管継手　　　　　　　　　　　,KQ2H12-03AS,1F-VB-05
101470,継手・ストレート　　　　　　　　　　　,KQ2H06-00A,1F-VB-06
101465,継手・ユニオンワイ　　　　　　　　　　,KQ2U06-00A,1F-VB-07
101581,ワンタッチ管継手（ハーフユニオン）　　,KQ2H06-08A,1F-VB-08
2288,スピコン　　　　　　　　　　　　　　　,AS1201F-M5-06A,1F-VB-09
101491,配管継手　　　　　　　　　　　　　　　,KQ2H04-02AS,1F-VC-01
101494,ワンタッチ管継手　　　　　　　　　　　,KQ2H06-02AS,1F-VC-02
101498,ワンタッチ管継手（ハーフユニオン）　　,KQ2H08-03AS,1F-VC-03
101500,ワンタッチ管継手　　　　　　　　　　　,KQ2H10-03AS,1F-VC-04
101503,継手　　　　　　　　　　　　　　　　　,KQ2H12-04AS,1F-VC-05
101516,ワンタッチ管継手（ストレート）　　　　,KQ2H08-00A,1F-VC-06
101633,ワンタッチ管継手　　　　　　　　　　　,KQ2U08-00A,1F-VC-07
101582,ワンタッチ管継手　　　　　　　　　　　,KQ2H08-10A,1F-VC-08
2250,スピコン　　　　　　　　　　　　　　　,AS2201F-02-04SA,1F-VC-09
101519,ワンタッチ管継手（エルボユニオン）　　,KQ2L04-M5A,1F-VD-01
101522,ワンタッチ管継手（エルボユニオン）　　,KQ2L06-M5A,1F-VD-02
101484,ワンタッチ管継手（エルボユニオン）　　,KQ2L08-01AS,1F-VD-03
101485,ワンタッチ管継手（エルボユニオン）　　,KQ2L10-02AS,1F-VD-04
101529,ワンタッチ管継手（エルボユニオン）　　,KQ2L12-02AS,1F-VD-05
101517,ワンタッチ管継手　　　　　　　　　　　,KQ2H10-00A,1F-VD-06
101634,ワンタッチ管継手　　　　　　　　　　　,KQ2U10-00A,1F-VD-07
101583,ワンタッチ管継手　　　　　　　　　　　,KQ2H10-12A,1F-VD-08
2245,スピコン　　　　　　　　　　　　　　　,AS2201F-01-06SA,1F-VD-09
101520,ワンタッチ管継手（エルボユニオン）　　,KQ2L04-01AS,1F-VE-01
101483,ワンタッチ管継手（エルボユニオン）　　,KQ2L06-01AS,1F-VE-02
101525,ワンタッチ管継手（エルボユニオン）　　,KQ2L08-02AS,1F-VE-03
101528,ワンタッチ管継手（エルボユニオン）　　,KQ2L10-03AS,1F-VE-04
101530,ワンタッチ管継手（エルボユニオン）　　,KQ2L12-03AS,1F-VE-05
101475,ワンタッチ管継手　　　　　　　　　　　,KQ2H12-00A,1F-VE-06
101635,ワンタッチ管継手　　　　　　　　　　　,KQ2U12-00A,1F-VE-07
101473,継手・異径ユニオンワイ　　　　　　　　,KQ2U04-06A,1F-VE-08
955,スピコン　　　　　　　　　　　　　　　,AS2201F-02-06,1F-VE-09
101521,ワンタッチ管継手（エルボユニオン）　　,KQ2L04-02AS,1F-VF-01
101523,ワンタッチ管継手（エルボユニオン）　　,KQ2L06-02AS,1F-VF-02
101526,ワンタッチ管継手（エルボユニオン）　　,KQ2L08-03AS,1F-VF-03
101486,ワンタッチ管継手（エルボユニオン）　　,KQ2L10-04AS,1F-VF-04
101531,ワンタッチ管継手（エルボユニオン）　　,KQ2L12-04AS,1F-VF-05
101476,ワンタッチ管継手（エルボユニオン）　　,KQ2L12-00A,1F-VF-07
101636,ワンタッチ管継手　　　　　　　　　　　,KQ2U06-08A,1F-VF-08
290061,エアーカプラ　　　　　　　　　　　　　,30PM,1F-WA-01
101584,ワンタッチ管継手（両口チーズユニオン）,KQ2T04-01AS,1G-VG-01
101587,ワンタッチ管継手（両口チーズユニオン）,KQ2T06-01AS,1G-VG-02
101710,継手・エルボユニオン　　　　　　　　　,KQ2L04-01NS,1G-VG-03
102051,継手・エルボユニオン　　　　　　　　　,KQ2L06-M6A,1G-VG-04
101637,異径ユニオンワイ　　　　　　　　　　　,KQ2U08-10A,1G-VG-08
101585,ワンタッチ管継手（両口チーズユニオン）,KQ2T04-02AS,1G-VH-01
101588,ワンタッチ管継手（両口チーズユニオン）,KQ2T06-02AS,1G-VH-02
100817,ハーフユニオン　　　　　　　　　　　　,KCH04-M5,1G-VH-03
100818,ハーフユニオン　　　　　　　　　　　　,KCH06-M5,1G-VH-04
150375,継手　　　　　　　　　　　　　　　　　,PUM5-4*2.5,1G-VH-05
150359,継手　　　　　　　　　　　　　　　　　,PUM5-6*4,1G-VH-06
