部品№,品名,規格,棚番
123101,デジタルサーボドライバースロット　　　,MSUBD010A,1F-D-03
123102,デジタルサーボドライバースロット　　　,MSUBD020A,1F-D-03
123103,デジタルサーボドライバースロット　　　,MSUBD040A,1F-D-03
123104,デジタルサーボドライバースロット　　　,MSUBD075A,1F-D-03
123868,制御電源スロット　　　　　　　　　　　,MSUDCSM,1F-D-03
123872,デジタルサーボドライバースロット　　　,MSUDD040B,1F-D-03
123098,バックプレーン基板　　　　　　　　　　,MSUBB,1F-D-04
123495,デジタルサーボドライバースロット　　　,MSUCD010A,1F-D-04
123496,デジタルサーボドライバースロット　　　,MSUCD020A,1F-D-04
123497,デジタルサーボドライバースロット　　　,MSUCD040A,1F-D-04
123498,デジタルサーボドライバースロット　　　,MSUCD075A,1F-D-04
123499,デジタルサーボドライバースロット　　　,MSUCDL150A,1F-D-04
123191,動力電源基板　　　　　　　　　　　　　,MSUBPL,1F-D-05
123217,バックプレーン基板　　　　　　　　　　,MSUBBL,1F-D-05
123476,制御電源スロット　　　　　　　　　　　,MSUCCS,1F-D-05
123870,デジタルサーボドライバースロット　　　,MSUDD010B,1F-D-05
151085,ペンダントユニット（４ｍ，銘板無し）　,P460-4,1F-E-01
151148,ペンダントユニット（４ｍ，銘板無し）　,P470-4,1F-E-01
152678,ペンダントユニット（４．５ｍ銘板無し）,P520B-4.5 W/O PANEL LABEL,1F-E-01
151254,ペンダントユニット（４ｍ，銘板無し）　,P470A-4,1F-E-02
151325,ペンダントユニット（４ｍ，銘板無し）　,P480-4,1F-E-02
151326,ペンダントユニット（４．５ｍ銘板無し）,P380-4.5,1F-E-02
152281,ペンダントユニット（４．５ｍ．銘板無）,P510-4.5,1F-E-02
152300,ペンダントユニット（銘板無）　　　　　,P400NEW(400M･411･420･430),1F-E-03
152414,ペンダントユニット（４．５ｍ銘板無し）,P520-4.5,1F-E-03
152549,ペンダントユニット（６２０Ａ）アフター,P620A-4.5 AFTER,1F-E-03
152471,メイン基板（６２０）アフター　　　　　,PR-000720 AFTER,1F-E-04
182574,メイン基板　　　　　　　　　　　　　　,S460M,1F-E-04
182988,メイン基板　　　　　　　　　　　　　　,S470M,1F-E-04
183670,メイン基板　　　　　　　　　　　　　　,S480M,1F-E-04
180841,インバーターユニット　　　　　　　　　,SPC-401(SPC-401C+SPC-1HD),1F-E-05
72027,ペンダントケーブル（４ｍ）　　　　　　,H460-4 (STEC-460),1F-F-01
72471,ペンダントケーブル（４ｍ）　　　　　　,H480-4 (STEC-480),1F-F-01
72754,ペンダントケーブル（４．５ｍ）ＶｅｒＢ,H510-4.5B(STEC-510.520),1F-F-01
72772,ペンダントケーブル（４．５ｍ）ＶｅｒＥ,H380-4.5E(STEC-380)VER.E,1F-F-01
72813,ペンダントケーブル（４．５ｍ）ＶｅｒＡ,H360-4.5A(STEC-360)VER.A,1F-F-01
282231,ペンダントケーブル（６１０用）４．５ｍ,201609-001-4,1F-F-01
151123,インターロック基板　　　　　　　　　　,PI360,1F-F-02
152768,インターロック基板　　　　　　　　　　,PI450/PI470,1F-F-02
80043,インターロック中継基板　　　　　　　　,IL401,1F-F-03
152769,インターロック基板　　　　　　　　　　,PI480D,1F-F-03
152770,インターロック基板（リレー付き）　　　,PI480D(WITH RELAY),1F-F-03
140063,走行体光中継基板　　　　　　　　　　　,OTB401,1F-F-04
